replication,target,pyfixest_estimate,pyfixest_se,pyfixest_covered,dbmundlak_estimate,dbmundlak_se,dbmundlak_covered,bitmap_estimate,bitmap_se,bitmap_covered,pyfixest_seconds,dbmundlak_seconds,bitmap_seconds,total_seconds,num_bootstraps,num_units,num_periods
28,0.0671836901419511,0.0613910780669163,0.0030749010728452,True,0.0613910780669145,0.0031803074565134,True,0.0613910780669145,0.003201405220465,True,3.833450635996997,2.714553927005909,0.8300795360046322,7.42427880300238,200,10000,30
29,0.067149897196059,0.069520446096657,0.0030745374398088,True,0.0695204460966543,0.0028708605087247,True,0.0695204460966541,0.0028746002142098,True,4.267457947004004,2.1999722219989053,0.5399364159966353,7.053719497002021,200,10000,30
30,0.067254549377853,0.0653375464684034,0.0030882687218202,True,0.0653375464684015,0.0030584629425493,True,0.0653375464684015,0.0030468918026573,True,3.5793904100064537,2.250109788001282,0.623229333999916,6.482905672994093,200,10000,30
31,0.0669712632917804,0.0724178438661736,0.0030731398080891,True,0.0724178438661711,0.0031027242802224,True,0.072417843866171,0.0031129617324003,True,4.242813479999313,1.901244960004988,0.5954013109949301,6.7849140589969466,200,10000,30
32,0.0671065990223745,0.0617933085501884,0.0030624766917453,True,0.061793308550186,0.0030170921968024,True,0.0617933085501859,0.0030266856626268,True,4.049050702000386,1.9854625680018216,0.580964941997081,6.645409926000866,200,10000,30
33,0.0670527778320114,0.072441635687735,0.0030762648584086,True,0.0724416356877322,0.0028215201249791,True,0.0724416356877321,0.0028211990770973,True,3.7575555559960776,2.005300102995534,0.4901377019996289,6.28478112200537,200,10000,30
34,0.0669581360313566,0.0666208178438687,0.0030759775335512,True,0.0666208178438662,0.0031293404924136,True,0.066620817843866,0.0031298932434224,True,4.306082150003931,1.846957776004274,0.5402321729998221,6.73938854100561,200,10000,30
35,0.0671521752991124,0.069368773234203,0.0030807662125771,True,0.0693687732342008,0.0032867011177679,True,0.0693687732342009,0.0032972288048613,True,7.543851936999999,1.796431629001745,0.5903959979987121,9.980130005998944,200,10000,30
36,0.0670314230896665,0.0639866171003737,0.0030959008822445,True,0.0639866171003717,0.003386823624422,True,0.0639866171003719,0.0034512457598166,True,3.684414502000436,1.7784608080037287,0.8025766700011445,6.301597862002382,200,10000,30
37,0.0670170234763905,0.0720215613382922,0.0031041088631623,True,0.0720215613382899,0.0030352464730981,True,0.0720215613382899,0.0030415300288603,True,3.572703808000369,2.071091065001383,0.5705777050025063,6.2457793279972975,200,10000,30
38,0.0670802227816748,0.0623040892193329,0.0031100264813272,True,0.0623040892193309,0.0030175425725422,True,0.0623040892193308,0.0030309724712781,True,4.210585294000339,1.8332028450022333,0.5845157030053088,6.674505659997521,200,10000,30
39,0.0671103440510206,0.0625947955390363,0.0031135072625643,True,0.0625947955390336,0.0032742134098323,True,0.0625947955390335,0.0032729309113606,True,3.593265955998504,1.7782935079958406,0.4857201929989969,5.886854375996336,200,10000,30
40,0.0670623980503101,0.0729881040892218,0.0031124145475076,True,0.0729881040892192,0.0029188946100573,False,0.0729881040892195,0.0028942337466332,False,4.833785036993504,1.895135555001616,0.5893294850029633,7.365219393002917,200,10000,30
41,0.066913941413925,0.0659717472118978,0.0030931335036774,True,0.0659717472118959,0.0030171165015315,True,0.0659717472118958,0.0030173015293821,True,3.669904618000146,2.2365479189975304,0.7402159449993633,6.679271039000014,200,10000,30
42,0.0671046107518726,0.0655680297397792,0.003060377732259,True,0.065568029739777,0.0028197052436696,True,0.0655680297397769,0.0028235252292304,True,5.269896477002476,1.838331363993348,0.6071615229957388,7.7450454610007,200,10000,30
43,0.0671006705567,0.0637405204460985,0.0031172263637334,True,0.0637405204460967,0.0030948367558022,True,0.0637405204460966,0.0031119135970102,True,3.552122274995781,2.0490567480010213,0.6714499430017895,6.303485297001316,200,10000,30
44,0.0671988526416429,0.0641992565055791,0.0030837939034319,True,0.0641992565055762,0.0031446943483124,True,0.0641992565055766,0.0031442924081302,True,3.931571590997919,1.897909348997928,0.5860821549940738,6.446765355001844,200,10000,30
45,0.0671926982881714,0.0671881040892218,0.0030778748545401,True,0.0671881040892195,0.0030453092917703,True,0.0671881040892194,0.0030899071904905,True,7.496458885005268,2.18431294200127,0.7523080190003384,10.464992793997226,200,10000,30
